id,file,side,step_length,stride_length,speed,gc_dur,stance,cadence,hs1_sec,hs2_sec,to_sec,start_frame,hs1_frame,hs2_frame,to_frame,slope,condition,height,weight,age
11,11_1F_2,Left,0.6533099254710593,1.2789237374661828,1.117940329952957,1.144,0.5979020979020978,102.6716680430241,0.132,1.276,0.816,31,33,319,204,-18,self-selected,180.0,76.0,23
11,11_1F_2,Right,0.5755314184275105,1.228805644988949,1.0893667065504866,1.128,0.6134751773049645,113.5680873367675,0.688,1.816,1.38,31,172,454,345,-18,self-selected,180.0,76.0,23
11,11_1K_3,Left,0.6985295569824648,1.338955146748644,1.1704153380669966,1.144,0.597902097902098,100.53249655945864,0.096,1.24,0.78,22,24,310,195,-18,constant,180.0,76.0,23
11,11_1K_3,Right,0.6996318835583303,1.3981486055157344,1.1848716995896051,1.1800000000000002,0.5932203389830508,101.61386815849586,0.66,1.84,1.36,22,165,460,340,-18,constant,180.0,76.0,23
11,11_2F_1,Left,0.6851204500784359,1.3035060668849077,1.1046661583770403,1.1800000000000002,0.583050847457627,96.74206848596384,0.136,1.316,0.824,32,34,329,206,-12,self-selected,180.0,76.0,23
11,11_2F_1,Right,0.6050667342771893,1.290138773758618,1.1121885980677744,1.16,0.593103448275862,110.28753045527031,0.728,1.888,1.416,32,182,472,354,-12,self-selected,180.0,76.0,23
11,11_2K_1,Left,0.6962110765107755,1.34789732219001,1.1619804501638018,1.16,0.617241379310345,100.14035881077947,0.096,1.256,0.812,22,24,314,203,-12,constant,180.0,76.0,23
11,11_2K_1,Right,0.6657508105787486,1.3619525822687162,1.2203876185203548,1.116,0.5985663082437277,109.9859826645454,0.688,1.804,1.356,22,172,451,339,-12,constant,180.0,76.0,23
11,11_3F_3,Left,0.7717327038119605,1.468113799317411,1.3493693008432084,1.088,0.5955882352941176,104.90958547004853,0.128,1.216,0.776,31,32,304,194,-6,self-selected,180.0,76.0,23
11,11_3F_3,Right,0.6761200384120104,1.4478463870364495,1.3307411645555602,1.088,0.5992647058823529,118.09215130032636,0.66,1.748,1.312,31,165,437,328,-6,self-selected,180.0,76.0,23
11,11_3K_1,Left,0.75723409609784,1.4605384359041098,1.2252839227383472,1.192,0.5973154362416108,97.08627192455674,0.116,1.308,0.828,27,29,327,207,-6,constant,180.0,76.0,23
11,11_3K_1,Right,0.6580845299217335,1.4153104926469084,1.1953635917625915,1.184,0.6081081081081081,108.98571877124267,0.708,1.892,1.428,27,177,473,357,-6,constant,180.0,76.0,23
11,11_4K_3,Left,0.7161243269898643,1.4171793063435822,1.1616223822488378,1.22,0.6065573770491803,97.32575798380432,0.084,1.304,0.824,20,21,326,206,0,constant,180.0,76.0,23
11,11_4K_3,Right,0.6803126708778426,1.3964337627620662,1.118937309905502,1.2479999999999998,0.6153846153846154,98.68438655963992,0.684,1.932,1.452,20,171,483,363,0,constant,180.0,76.0,23
13,13_1F_3,Left,0.6668355222849657,1.2814554977794954,1.0106115913087503,1.268,0.6182965299684543,90.93201164621298,0.1,1.368,0.884,23,25,342,221,-18,self-selected,192.0,78.0,26
13,13_1F_3,Right,0.7085669763001152,1.3753985789070218,1.051527965525246,1.308,0.6391437308868502,89.04123398603342,0.712,2.02,1.548,23,178,505,387,-18,self-selected,192.0,78.0,26
13,13_1K_2,Left,0.6838712508344229,1.3579680904671687,1.187035044114658,1.144,0.611888111888112,104.14548434369496,0.092,1.236,0.792,22,23,309,198,-18,constant,192.0,78.0,26
13,13_1K_2,Right,0.7071627805787041,1.3910254484548903,1.170896842133746,1.1880000000000002,0.6228956228956227,99.34602393883458,0.656,1.844,1.396,22,164,461,349,-18,constant,192.0,78.0,26
13,13_2F_3,Left,0.7010384233138741,1.3490803380617706,1.1167883593226575,1.208,0.6324503311258278,95.58292289117291,0.076,1.284,0.84,17,19,321,210,-12,self-selected,192.0,78.0,26
13,13_2F_3,Right,0.6988897481550477,1.3999276242971896,1.1474816592599917,1.2199999999999998,0.6131147540983607,98.51181783299742,0.676,1.896,1.424,17,169,474,356,-12,self-selected,192.0,78.0,26
13,13_2K_3,Left,0.7866278531314906,1.531335377342715,1.2389444800507403,1.236,0.5889967637540453,94.50042800686144,0.056,1.292,0.784,12,14,323,196,-12,constant,192.0,78.0,26
13,13_2K_3,Right,0.6655017658065917,1.4521163323364203,1.1561435767009718,1.2559999999999998,0.6178343949044587,104.23505716469911,0.672,1.928,1.448,12,168,482,362,-12,constant,192.0,78.0,26
13,13_3F_2,Left,0.7720381490123166,1.4661420966171417,1.0908795361734684,1.344,0.6190476190476191,84.77919420710377,0.132,1.476,0.964,32,33,369,241,-6,self-selected,192.0,78.0,26
13,13_3F_2,Right,0.6684480170510114,1.440484826432819,1.0686089216860677,1.348,0.6350148367952521,95.91850624978532,0.792,2.14,1.648,32,198,535,412,-6,self-selected,192.0,78.0,26
13,13_3K_3,Left,0.7906155090804323,1.5252927516515935,1.1769234194842542,1.296,0.6172839506172839,89.31699967685718,0.176,1.472,0.976,42,44,368,244,-6,constant,192.0,78.0,26
13,13_3K_3,Right,0.7323855417518571,1.5229998783948926,1.1973269484236575,1.2720000000000002,0.6257861635220126,98.08988955950711,0.824,2.096,1.62,42,206,524,405,-6,constant,192.0,78.0,26
13,13_4F_2,Left,0.8864950266539745,1.7526474036645625,1.5266963446555422,1.148,0.5923344947735193,103.33028153026228,0.1,1.248,0.78,23,25,312,195,0,self-selected,192.0,78.0,26
13,13_4F_2,Right,0.7800916471686475,1.6665850204638395,1.4568050878180414,1.144,0.6258741258741257,112.0487645090574,0.66,1.804,1.376,23,165,451,344,0,self-selected,192.0,78.0,26
13,13_4K_3,Left,0.7721387705740956,1.568839718146843,1.2218377867187251,1.284,0.6105919003115264,94.94441931547658,0.084,1.368,0.868,20,21,342,217,0,constant,192.0,78.0,26
13,13_4K_3,Right,0.6698040791815086,1.441939195069856,1.0890779418956618,1.324,0.6132930513595166,97.55789572615024,0.72,2.044,1.532,20,180,511,383,0,constant,192.0,78.0,26
14,14_1F_2,Left,0.6341234127105388,1.281178668541953,0.956103483986532,1.34,0.617910447761194,90.46536981497344,0.016,1.356,0.844,2,4,339,211,-18,self-selected,182.0,74.0,28
14,14_1F_2,Right,0.7055930147453681,1.3396136856074432,1.0210470164690877,1.312,0.6128048780487805,86.82458543081464,0.688,2.0,1.492,2,172,500,373,-18,self-selected,182.0,74.0,28
14,14_1K_2,Left,0.7484225025404461,1.4389480839205695,1.167977340844618,1.2320000000000002,0.5909090909090908,93.63513284648988,0.124,1.356,0.852,30,31,339,213,-18,constant,182.0,74.0,28
14,14_1K_2,Right,0.6520579551445062,1.400371704767172,1.1554221986527822,1.212,0.6171617161716172,106.3177457957757,0.724,1.936,1.472,30,181,484,368,-18,constant,182.0,74.0,28
14,14_2F_3,Left,0.7669020157082083,1.47563797968802,1.2256129399402158,1.204,0.6079734219269103,95.88809898811417,0.112,1.316,0.844,27,28,329,211,-12,self-selected,182.0,74.0,28
14,14_2F_3,Right,0.6813031729746183,1.4481014649423478,1.2272046313070746,1.18,0.6203389830508474,108.0756420918175,0.704,1.884,1.436,27,176,471,359,-12,self-selected,182.0,74.0,28
14,14_2K_1,Left,0.7839520996623552,1.5332272786721262,1.2285474989359986,1.248,0.5961538461538461,94.027237082352,0.088,1.336,0.832,21,22,334,208,-12,constant,182.0,74.0,28
14,14_2K_1,Right,0.6966060532297799,1.4804793813397032,1.1977988522165883,1.236,0.6084142394822006,103.16868594492274,0.704,1.94,1.456,21,176,485,364,-12,constant,182.0,74.0,28
14,14_3F_1,Left,0.7327298280546011,1.4753198562633636,1.1859484375107423,1.244,0.6109324758842444,97.11206440109892,0.108,1.352,0.868,25,27,338,217,-6,self-selected,182.0,74.0,28
14,14_3F_1,Right,0.7219800284731539,1.454646846195684,1.1693302622151802,1.244,0.6334405144694534,97.17694806778113,0.72,1.964,1.508,25,180,491,377,-6,self-selected,182.0,74.0,28
14,14_3F_2,Left,0.7872276805618661,1.5416193104918183,1.1858610080706296,1.3,0.6061538461538462,90.38256941556584,0.144,1.444,0.932,35,36,361,233,-6,constant,182.0,74.0,28
14,14_3F_2,Right,0.7633157809205153,1.5505075448621124,1.1781972225395991,1.316,0.5987841945288753,92.61151822005516,0.784,2.1,1.572,35,196,525,393,-6,constant,182.0,74.0,28
14,14_4F_1,Left,0.8274557906608967,1.6553822309083674,1.3349856700873932,1.24,0.6064516129032258,96.80171570407124,0.1,1.34,0.852,23,25,335,213,0,self-selected,182.0,74.0,28
14,14_4F_1,Right,0.7823261786778103,1.6097645075836713,1.2898754067176854,1.248,0.6153846153846154,98.92615958967431,0.712,1.96,1.48,23,178,490,370,0,self-selected,182.0,74.0,28
14,14_4K_2,Left,0.8050832689501672,1.5844407788645485,1.1967075369067586,1.3239999999999998,0.6193353474320243,89.18636740276106,0.1,1.424,0.92,23,25,356,230,0,constant,182.0,74.0,28
14,14_4K_2,Right,0.7415852029251986,1.5465426169831502,1.1338288980814883,1.364,0.6129032258064516,91.73556000921346,0.748,2.112,1.584,23,187,528,396,0,constant,182.0,74.0,28
15,15_1F_1,Left,0.6786905881875417,1.355217330294113,1.1846305334738751,1.144,0.6223776223776225,104.72788815039772,0.088,1.232,0.8,21,22,308,200,-18,self-selected,175.0,64.0,21
15,15_1F_1,Right,0.637861513176301,1.3165451199090674,1.1428343054766208,1.152,0.6076388888888888,107.49991481245694,0.664,1.816,1.364,21,166,454,341,-18,self-selected,175.0,64.0,21
15,15_1K_2,Left,0.680876659024468,1.2945685181224789,1.1942514004819915,1.084,0.6273062730627308,105.23944840697573,0.092,1.176,0.772,22,23,294,193,-18,constant,175.0,64.0,21
15,15_1K_2,Right,0.5815403307240161,1.2623707236836463,1.1645486380845445,1.084,0.6051660516605166,120.15145742012608,0.64,1.724,1.296,22,160,431,324,-18,constant,175.0,64.0,21
15,15_2F_2,Left,0.6767584837521268,1.3369836499852137,1.2243440018179612,1.092,0.6227106227106228,108.54779344884248,0.092,1.184,0.772,22,23,296,193,-12,constant,175.0,64.0,21
15,15_2F_2,Right,0.6305684299192633,1.307158799459303,1.2103322217215768,1.08,0.6074074074074074,115.16582476638216,0.636,1.716,1.292,22,159,429,323,-12,constant,175.0,64.0,21
15,15_2F_3,Left,0.7143790612880974,1.434059832616063,1.3180696990956462,1.088,0.6139705882352943,110.70338736292472,0.084,1.172,0.752,20,21,293,188,-12,self-selected,175.0,64.0,21
15,15_2F_3,Right,0.6907452352805217,1.404955007870202,1.3008842665464833,1.08,0.5740740740740741,112.99832703310724,0.644,1.724,1.264,20,161,431,316,-12,self-selected,175.0,64.0,21
15,15_3F_3,Left,0.7189105672419396,1.4552274879369576,1.2501954363719567,1.164,0.6013745704467355,104.3408312526212,0.092,1.256,0.792,21,23,314,198,-6,self-selected,175.0,64.0,21
15,15_3F_3,Right,0.7318272976473905,1.4507371872320542,1.254962964733611,1.156,0.6055363321799307,102.89009186467467,0.672,1.828,1.372,21,168,457,343,-6,self-selected,175.0,64.0,21
16,16_1F_1,Left,0.6687935537235761,1.3904182659655238,1.132262431568016,1.228,0.6286644951140066,101.57954650705258,0.104,1.332,0.876,24,26,333,219,-18,self-selected,186.0,90.0,20
16,16_1F_1,Right,0.705953219157839,1.3747464543981551,1.115865628569931,1.232,0.6266233766233766,94.83905717444794,0.716,1.948,1.488,24,179,487,372,-18,self-selected,186.0,90.0,20
16,16_2F_2,Left,0.6958937622786244,1.4386776523316778,1.2445308411173683,1.156,0.6055363321799309,107.30352032835827,0.084,1.24,0.784,19,21,310,196,-12,self-selected,186.0,90.0,20
16,16_2F_2,Right,0.6893697699654943,1.3852576915877144,1.186008297592221,1.168,0.6404109589041094,103.22544004082908,0.644,1.812,1.392,19,161,453,348,-12,self-selected,186.0,90.0,20
16,16_2K_2,Left,0.7394387335114924,1.4594242697183868,1.1546078083215086,1.264,0.629746835443038,93.6879086253788,0.08,1.344,0.876,18,20,336,219,-12,constant,186.0,90.0,20
16,16_2K_2,Right,0.7358085527891643,1.4752446525135936,1.1708290892965028,1.26,0.6253968253968254,95.47285783985612,0.7,1.96,1.488,18,175,490,372,-12,constant,186.0,90.0,20
16,16_3F_3,Left,0.7677895155872102,1.546611901681667,1.2235853652544837,1.2639999999999998,0.6170886075949368,95.6188127407818,0.12,1.384,0.9,28,30,346,225,-6,self-selected,186.0,90.0,20
16,16_3F_3,Right,0.7369330164135198,1.504719550006424,1.182955621074233,1.272,0.6415094339622642,96.31450306010716,0.744,2.016,1.56,28,186,504,390,-6,self-selected,186.0,90.0,20
16,16_3K_2,Left,0.7274044816976208,1.4828021255975277,1.1584391606230684,1.28,0.6375000000000001,95.55391998021484,0.084,1.364,0.9,20,21,341,225,-6,constant,186.0,90.0,20
16,16_3K_2,Right,0.719294181188305,1.446690722152774,1.1555037716875192,1.252,0.6357827476038339,96.3864690059283,0.736,1.988,1.532,20,184,497,383,-6,constant,186.0,90.0,20
16,16_4F_2,Left,0.7697802339038615,1.5850228464131946,1.3077746257534608,1.212,0.6336633663366337,101.93360921632524,0.104,1.316,0.872,24,26,329,218,0,self-selected,186.0,90.0,20
16,16_4F_2,Right,0.6640614676727356,1.433841166565877,1.171438861573429,1.224,0.6437908496732027,105.84311109140342,0.716,1.94,1.504,24,179,485,376,0,self-selected,186.0,90.0,20
16,16_4K_1,Left,0.723312861290854,1.4751211475923505,1.1382107620311348,1.2959999999999998,0.6388888888888891,94.41646813799248,0.108,1.404,0.936,26,27,351,234,0,constant,186.0,90.0,20
16,16_4K_1,Right,0.7124744856492876,1.4357738530010624,1.1147312523300177,1.288,0.6459627329192547,93.8754671037081,0.756,2.044,1.588,26,189,511,397,0,constant,186.0,90.0,20
17,17_1F_2,Left,0.5303050542940837,1.0187731155334614,0.9611067127674164,1.06,0.630188679245283,108.74194446969338,0.12,1.18,0.788,28,30,295,197,-18,self-selected,183.0,68.0,40
17,17_1F_2,Right,0.5030089767423396,1.0329497952486395,0.9932209569698456,1.04,0.6461538461538462,118.47354654411404,0.64,1.68,1.312,28,160,420,328,-18,self-selected,183.0,68.0,40
17,17_1K_2,Left,0.5866696350787057,1.1687746583441156,1.1458575081805058,1.0199999999999998,0.623529411764706,117.18937947352067,0.112,1.132,0.748,27,28,283,187,-18,constant,183.0,68.0,40
17,17_1K_2,Right,0.5604076753425185,1.1469107699518035,1.1469107699518035,1.0,0.628,122.79390383982346,0.608,1.608,1.236,27,152,402,309,-18,constant,183.0,68.0,40
17,17_2F_1,Left,0.7177920850721468,1.3914514259916373,1.4994088642151264,0.928,0.6206896551724138,125.33508480225868,0.104,1.032,0.68,25,26,258,170,-12,self-selected,183.0,68.0,40
17,17_2F_1,Right,0.6688098976933889,1.3865836575434105,1.51373761740547,0.916,0.589519650655022,135.7998100171148,0.568,1.484,1.108,25,142,371,277,-12,self-selected,183.0,68.0,40
17,17_2K_1,Left,0.6411701559940461,1.2460375695151198,1.1580274809620077,1.0759999999999998,0.617100371747212,108.36694161162056,0.104,1.18,0.768,25,26,295,192,-12,constant,183.0,68.0,40
17,17_2K_1,Right,0.6386611583532716,1.2798157585018877,1.193857983677134,1.072,0.6156716417910447,112.15881549039734,0.648,1.72,1.308,25,162,430,327,-12,constant,183.0,68.0,40
17,17_3F_1,Left,0.7012136390765181,1.3376814795817902,1.2862321919055677,1.04,0.6384615384615385,110.05765891258233,0.08,1.12,0.744,18,20,280,186,-6,self-selected,183.0,68.0,40
17,17_3F_1,Right,0.6789966094802721,1.3798492517979832,1.311643775473368,1.052,0.6159695817490495,115.90429971165952,0.592,1.644,1.24,18,148,411,310,-6,self-selected,183.0,68.0,40
17,17_3K_2,Left,0.6628303619431626,1.2767480443077102,1.1691831907579764,1.092,0.6446886446886448,105.83551308636945,0.084,1.176,0.788,20,21,294,197,-6,constant,183.0,68.0,40
17,17_3K_2,Right,0.6479416905631054,1.3103301466981765,1.186893248820812,1.104,0.6195652173913043,109.9074129145159,0.636,1.74,1.32,20,159,435,330,-6,constant,183.0,68.0,40
17,17_4F_3,Left,0.7078781013043591,1.4113821116296654,1.297226205541972,1.088,0.6286764705882354,109.9533552303704,0.104,1.192,0.788,25,26,298,197,0,self-selected,183.0,68.0,40
17,17_4F_3,Right,0.730042784758157,1.437916509884291,1.3071968271675372,1.1,0.6218181818181818,107.43453845110533,0.648,1.748,1.332,25,162,437,333,0,self-selected,183.0,68.0,40
17,17_4K_2,Left,0.6876694705579259,1.336280160589116,1.1025413866246834,1.212,0.6435643564356436,96.19808066193428,0.096,1.308,0.876,22,24,327,219,0,constant,183.0,68.0,40
17,17_4K_2,Right,0.661506428204795,1.3491234378551435,1.1356257894403563,1.188,0.6363636363636364,103.00360580218998,0.708,1.896,1.464,22,177,474,366,0,constant,183.0,68.0,40
18,18_1F_3,Left,0.6094837071530823,1.2552378824788497,1.1537112890430603,1.088,0.6323529411764707,113.5759275107204,0.076,1.164,0.764,17,19,291,191,-18,self-selected,176.0,85.0,23
18,18_1F_3,Right,0.6433353342634746,1.2528190001796795,1.1600175927589624,1.08,0.6259259259259259,108.18783278120551,0.62,1.7,1.296,17,155,425,324,-18,self-selected,176.0,85.0,23
18,18_2F_3,Left,0.5877528936635891,1.1965905883530803,1.0175090037015992,1.176,0.6394557823129252,103.87110107030682,0.104,1.28,0.856,25,26,320,214,-12,self-selected,176.0,85.0,23
18,18_2F_3,Right,0.5930690524831553,1.180821368999745,1.0321865113634134,1.144,0.6398601398601398,104.42492391484852,0.696,1.84,1.428,25,174,460,357,-12,self-selected,176.0,85.0,23
18,18_2K_1,Left,0.5893277399392436,1.2395745090412622,1.0950304850187829,1.132,0.6360424028268552,111.4860622510328,0.1,1.232,0.82,23,25,308,205,-12,constant,176.0,85.0,23
18,18_2K_1,Right,0.6392826953077085,1.2286092975949063,1.1251000893726248,1.092,0.6263736263736264,105.59648471301816,0.68,1.772,1.364,23,170,443,341,-12,constant,176.0,85.0,23
18,18_3F_1,Left,0.6567987591699161,1.356736707733294,1.251602128905253,1.084,0.6383763837638378,114.3365858809236,0.108,1.192,0.8,26,27,298,200,-6,self-selected,176.0,85.0,23
18,18_3F_1,Right,0.7111439979721838,1.3679420118027945,1.2666129738914762,1.08,0.6333333333333333,106.86552744618844,0.652,1.732,1.336,26,163,433,334,-6,self-selected,176.0,85.0,23
18,18_3K_2,Left,0.710002067387395,1.4145375926099053,1.170974828319458,1.208,0.6192052980132451,98.9553311551594,0.1,1.308,0.848,24,25,327,212,-6,constant,176.0,85.0,23
18,18_3K_2,Right,0.7002623325217086,1.4102643264101349,1.1791507745904135,1.196,0.6354515050167224,101.03220348958516,0.692,1.888,1.452,24,173,472,363,-6,constant,176.0,85.0,23
18,18_4F_3,Left,0.7649761362930338,1.5856380363876907,1.5606673586493018,1.016,0.6141732283464567,122.40910150834836,0.084,1.1,0.708,20,21,275,177,0,self-selected,176.0,85.0,23
18,18_4F_3,Right,0.7228148723502693,1.487790047025131,1.4643602825050503,1.016,0.6181102362204725,121.55479959151435,0.592,1.608,1.22,20,148,402,305,0,self-selected,176.0,85.0,23
18,18_4K_2,Left,0.6322078421680373,1.321606810534883,1.086847706031976,1.216,0.6348684210526316,103.14782261841334,0.108,1.324,0.88,26,27,331,220,0,constant,176.0,85.0,23
18,18_4K_2,Right,0.6771173801458039,1.309296641933395,1.0874556826689328,1.204,0.637873754152824,96.36045813221666,0.716,1.92,1.484,26,179,480,371,0,constant,176.0,85.0,23
20,20_1K_1,Left,0.7878504014653736,1.560801688565422,1.111682114362836,1.404,0.5754985754985755,84.66191898577297,0.084,1.488,0.892,20,21,372,223,-18,constant,182.0,62.0,28
20,20_1K_1,Right,0.7936655736376719,1.5815159660310787,1.1296542614507703,1.4,0.5857142857142857,85.40027177490899,0.784,2.184,1.604,20,196,546,401,-18,constant,182.0,62.0,28
20,20_2F_2,Left,0.86425198417787,1.651951178448501,1.4389818627600184,1.148,0.578397212543554,99.9001603076816,0.092,1.24,0.756,21,23,310,189,-12,self-selected,182.0,62.0,28
20,20_2F_2,Right,0.7419076545801213,1.6061504512154847,1.41886082262852,1.132,0.5865724381625441,114.7469618788217,0.656,1.788,1.32,21,164,447,330,-12,self-selected,182.0,62.0,28
20,20_2K_2,Left,0.7266722491282879,1.429622450444007,1.1274625003501633,1.268,0.5962145110410094,93.09251881045364,0.104,1.372,0.86,25,26,343,215,-12,constant,182.0,62.0,28
20,20_2K_2,Right,0.7013854391776417,1.428042929613109,1.1262168214614423,1.268,0.5930599369085173,96.34219006159344,0.728,1.996,1.48,25,182,499,370,-12,constant,182.0,62.0,28
20,20_3F_1,Left,0.8716491593958718,1.677982821115004,1.4928672785720678,1.124,0.5907473309608542,102.76157069480251,0.076,1.2,0.74,17,19,300,185,-6,self-selected,182.0,62.0,28
20,20_3F_1,Right,0.6950334403085483,1.5666822950821149,1.4038371819732212,1.116,0.5842293906810035,121.18874579761328,0.628,1.744,1.28,17,157,436,320,-6,self-selected,182.0,62.0,28
20,20_3K_1,Left,0.8346841656074695,1.6128033477039652,1.178949815573074,1.368,0.605263157894737,84.74701192265127,0.06,1.428,0.888,13,15,357,222,-6,constant,182.0,62.0,28
20,20_3K_1,Right,0.7413781380081069,1.5760387238146256,1.1520750905077672,1.368,0.6052631578947368,93.23785243544658,0.736,2.104,1.564,13,184,526,391,-6,constant,182.0,62.0,28
20,20_4F_2,Left,0.8543851682691612,1.6796349565828252,1.438043627211323,1.168,0.6027397260273973,100.9879628499091,0.088,1.256,0.792,21,22,314,198,0,self-selected,182.0,62.0,28
20,20_4F_2,Right,0.7669568548145134,1.621341799124338,1.3833974395258857,1.1720000000000002,0.5938566552901023,108.224922758696,0.668,1.84,1.364,21,167,460,341,0,self-selected,182.0,62.0,28
20,20_4K_3,Left,0.7311767317452609,1.4584869703277905,1.108272773805312,1.3159999999999998,0.623100303951368,90.94431420102384,0.088,1.404,0.908,21,22,351,227,0,constant,182.0,62.0,28
20,20_4K_3,Right,0.7061957158882864,1.4373714129275408,1.0989078080485786,1.308,0.6238532110091743,93.36571576334076,0.748,2.056,1.564,21,187,514,391,0,constant,182.0,62.0,28
21,21_1F_2,Left,0.6007550129940203,1.2321935414211087,1.1080877171053136,1.112,0.6546762589928059,110.66951018015156,0.084,1.196,0.812,20,21,299,203,-18,self-selected,172.0,64.0,28
21,21_1F_2,Right,0.6118192704165668,1.2125067054992258,1.106301738594184,1.096,0.6240875912408759,108.49299380592647,0.656,1.752,1.34,20,164,438,335,-18,self-selected,172.0,64.0,28
21,21_1K_1,Left,0.619043463232651,1.2396439495282083,1.1607153085470117,1.0679999999999998,0.6292134831460675,112.50085438128156,0.08,1.148,0.752,18,20,287,188,-18,constant,172.0,64.0,28
21,21_1K_1,Right,0.6364184640319736,1.2553234858480826,1.1623365609704468,1.08,0.6259259259259259,109.58229152622933,0.612,1.692,1.288,18,153,423,322,-18,constant,172.0,64.0,28
21,21_2F_2,Left,0.6913902632173183,1.3683891190281732,1.3363174990509503,1.024,0.6171875,115.96786100219504,0.088,1.112,0.72,21,22,278,180,-12,self-selected,172.0,64.0,28
21,21_2F_2,Right,0.68487116170008,1.3760811071988828,1.343829206248909,1.024,0.609375,117.72981092499856,0.592,1.616,1.216,21,148,404,304,-12,self-selected,172.0,64.0,28
21,21_2K_3,Left,0.6602444155606518,1.302656587638508,1.1799425612667649,1.104,0.63768115942029,107.22779626373428,0.084,1.188,0.788,20,21,297,197,-12,constant,172.0,64.0,28
21,21_2K_3,Right,0.6342788902781139,1.2944179864440657,1.1682472801841746,1.108,0.6245487364620939,110.51106679636746,0.632,1.74,1.324,20,158,435,331,-12,constant,172.0,64.0,28
